lead_days,observation_count,baseline_mae,model_mae,baseline_rmse,model_rmse,mae_improvement_percentage,rmse_improvement_percentage
0,150,4.4887,8.7914,5.2691,16.7877,-95.86,-218.61
1,29436,4.5273,3.4171,5.0193,4.3902,24.52,12.53
